"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","dataset","epochs","hidden_layers","lr","val_split","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/val_loss"
"Reacher6_arch6_lr0.001_batch128_valS0.5_relu","finished","-","","","2025-12-08T17:21:29.000Z","49","","relu","128","Reacher6","400","[107,107,107,107,107,107]","0.001","0.5","62","0.0010000000474974513","0.39449986815452576","0.7058960199356079"
"Reacher6_arch6_lr0.001_batch128_valS0.8_tanh","finished","-","","","2025-12-08T17:20:36.000Z","52","","tanh","128","Reacher6","400","[107,107,107,107,107,107]","0.001","0.8","73","0.0010000000474974513","0.3538220524787903","0.8297184705734253"
"Reacher6_arch6_lr0.001_batch128_valS0.8_relu","finished","-","","","2025-12-08T17:19:48.000Z","47","","relu","128","Reacher6","400","[107,107,107,107,107,107]","0.001","0.8","63","0.0010000000474974513","0.3029211759567261","0.8607499003410339"
"Reacher6_arch6_lr0.001_batch64_valS0.05_tanh","finished","-","","","2025-12-08T17:17:47.000Z","120","","tanh","64","Reacher6","400","[107,107,107,107,107,107]","0.001","0.05","70","0.0010000000474974513","0.4371431767940521","0.6906580924987793"
"Reacher6_arch6_lr0.001_batch64_valS0.05_relu","finished","-","","","2025-12-08T17:16:02.000Z","104","","relu","64","Reacher6","400","[107,107,107,107,107,107]","0.001","0.05","66","0.0010000000474974513","0.43254706263542175","0.6376911401748657"
"Reacher6_arch6_lr0.001_batch64_valS0.1_tanh","finished","-","","","2025-12-08T17:14:15.000Z","106","","tanh","64","Reacher6","400","[107,107,107,107,107,107]","0.001","0.1","64","0.0010000000474974513","0.4475621283054352","0.6684289574623108"
"Reacher6_arch6_lr0.001_batch64_valS0.1_relu","finished","-","","","2025-12-08T17:12:33.000Z","100","","relu","64","Reacher6","400","[107,107,107,107,107,107]","0.001","0.1","64","0.0010000000474974513","0.4336141645908356","0.6450262665748596"
"Reacher6_arch6_lr0.001_batch64_valS0.2_tanh","finished","-","","","2025-12-08T17:10:56.000Z","96","","tanh","64","Reacher6","400","[107,107,107,107,107,107]","0.001","0.2","62","0.0010000000474974513","0.4312723875045776","0.7097614407539368"
"Reacher6_arch6_lr0.001_batch64_valS0.2_relu","finished","-","","","2025-12-08T17:09:23.000Z","92","","relu","64","Reacher6","400","[107,107,107,107,107,107]","0.001","0.2","61","0.0010000000474974513","0.4237386882305145","0.67304527759552"
"Reacher6_arch6_lr0.001_batch64_valS0.5_tanh","finished","-","","","2025-12-08T17:07:50.000Z","92","","tanh","64","Reacher6","400","[107,107,107,107,107,107]","0.001","0.5","64","0.0010000000474974513","0.3821509182453155","0.7716184258460999"
