hidden_layers,lr,batch_size,val_split,activation,epochs,dataset,mse,r2
"[107, 107, 107, 107, 107, 107]",0.1,128,0.2,relu,400,Reacher6,0.004150082642723356,0.006988764871523982
"[107, 107, 107, 107, 107, 107]",0.1,128,0.2,tanh,400,Reacher6,0.004587071212486199,-0.09702408684891961
"[107, 107, 107, 107, 107, 107]",0.1,128,0.1,relu,400,Reacher6,0.004183810189615388,-0.000768583662526412
"[107, 107, 107, 107, 107, 107]",0.1,128,0.1,tanh,400,Reacher6,0.004663569498629103,-0.11633127818811839
"[107, 107, 107, 107, 107, 107]",0.1,128,0.05,relu,400,Reacher6,0.004183075142187726,-0.0005958292646024432
"[107, 107, 107, 107, 107, 107]",0.1,128,0.05,tanh,400,Reacher6,0.004748898394911817,-0.13765619699036014
"[107, 107, 107, 107, 107, 107]",0.01,16,0.8,relu,400,Reacher6,0.0031045737590651664,0.2569194982819531
"[107, 107, 107, 107, 107, 107]",0.01,16,0.8,tanh,400,Reacher6,0.004358141582441951,-0.042161230098418656
"[107, 107, 107, 107, 107, 107]",0.01,16,0.5,relu,400,Reacher6,0.0030378711068921285,0.27267964063717537
"[107, 107, 107, 107, 107, 107]",0.01,16,0.5,tanh,400,Reacher6,0.0042629899647712586,-0.019506605473849987
"[107, 107, 107, 107, 107, 107]",0.01,16,0.2,relu,400,Reacher6,0.003049566003009676,0.26982632913716487
"[107, 107, 107, 107, 107, 107]",0.01,16,0.2,tanh,400,Reacher6,0.004172340418719617,0.0028987774498403507
"[107, 107, 107, 107, 107, 107]",0.01,16,0.1,relu,400,Reacher6,0.0030011367550411183,0.2813419844476452
"[107, 107, 107, 107, 107, 107]",0.01,16,0.1,tanh,400,Reacher6,0.0042400207803542965,-0.012623452461882493
"[107, 107, 107, 107, 107, 107]",0.01,16,0.05,relu,400,Reacher6,0.0030295354964047466,0.27452498282797416
"[107, 107, 107, 107, 107, 107]",0.01,16,0.05,tanh,400,Reacher6,0.004242855336673173,-0.013991409353518539
"[107, 107, 107, 107, 107, 107]",0.01,32,0.8,relu,400,Reacher6,0.0029182210902480147,0.30284889200240367
"[107, 107, 107, 107, 107, 107]",0.01,32,0.8,tanh,400,Reacher6,0.0039045274308513998,0.06822712697042795
"[107, 107, 107, 107, 107, 107]",0.01,32,0.5,relu,400,Reacher6,0.0027774025516848207,0.33650630952038857
"[107, 107, 107, 107, 107, 107]",0.01,32,0.5,tanh,400,Reacher6,0.0039016223557738865,0.06870838388152277
"[107, 107, 107, 107, 107, 107]",0.01,32,0.2,relu,400,Reacher6,0.0030103750583455485,0.2791447410520864
"[107, 107, 107, 107, 107, 107]",0.01,32,0.2,tanh,400,Reacher6,0.003967258382512176,0.0527984714702221
"[107, 107, 107, 107, 107, 107]",0.01,32,0.1,relu,400,Reacher6,0.0030100362932225194,0.2791840625887069
"[107, 107, 107, 107, 107, 107]",0.01,32,0.1,tanh,400,Reacher6,0.003969372798957687,0.051629103417989965
"[107, 107, 107, 107, 107, 107]",0.01,32,0.05,relu,400,Reacher6,0.0029997043548564604,0.2816197172571003
"[107, 107, 107, 107, 107, 107]",0.01,32,0.05,tanh,400,Reacher6,0.0041409083538337344,0.010256434714825938
"[107, 107, 107, 107, 107, 107]",0.01,64,0.8,relu,400,Reacher6,0.0028108535658010934,0.3280322644005141
"[107, 107, 107, 107, 107, 107]",0.01,64,0.8,tanh,400,Reacher6,0.0032251641167050427,0.22927147611342458
"[107, 107, 107, 107, 107, 107]",0.01,64,0.5,relu,400,Reacher6,0.002609596517583435,0.375735267082328
"[107, 107, 107, 107, 107, 107]",0.01,64,0.5,tanh,400,Reacher6,0.003335589822108199,0.20313427147622345
"[107, 107, 107, 107, 107, 107]",0.01,64,0.2,relu,400,Reacher6,0.0026278068058090825,0.3712001371491474
"[107, 107, 107, 107, 107, 107]",0.01,64,0.2,tanh,400,Reacher6,0.003208873025125739,0.23291130814728697
"[107, 107, 107, 107, 107, 107]",0.01,64,0.1,relu,400,Reacher6,0.0027249567093097365,0.3490628793851051
"[107, 107, 107, 107, 107, 107]",0.01,64,0.1,tanh,400,Reacher6,0.0033326727930131947,0.2031865050451959
"[107, 107, 107, 107, 107, 107]",0.01,64,0.05,relu,400,Reacher6,0.0026182810524600516,0.37351732098994583
"[107, 107, 107, 107, 107, 107]",0.01,64,0.05,tanh,400,Reacher6,0.0031957054194840483,0.23618544476265294
"[107, 107, 107, 107, 107, 107]",0.01,128,0.8,relu,400,Reacher6,0.002799058941170081,0.3304999381540292
"[107, 107, 107, 107, 107, 107]",0.01,128,0.8,tanh,400,Reacher6,0.0030391072159699356,0.2736968586671294
"[107, 107, 107, 107, 107, 107]",0.01,128,0.5,relu,400,Reacher6,0.0025951053548164908,0.37900762732263976
"[107, 107, 107, 107, 107, 107]",0.01,128,0.5,tanh,400,Reacher6,0.0029591142945677926,0.29288111555938295
"[107, 107, 107, 107, 107, 107]",0.01,128,0.2,relu,400,Reacher6,0.002476569204582741,0.40749411490623605
"[107, 107, 107, 107, 107, 107]",0.01,128,0.2,tanh,400,Reacher6,0.002999451205387899,0.2826525824968639
"[107, 107, 107, 107, 107, 107]",0.01,128,0.1,relu,400,Reacher6,0.0025037190731042477,0.40118525867114263
"[107, 107, 107, 107, 107, 107]",0.01,128,0.1,tanh,400,Reacher6,0.0030219174977551763,0.2769958140911355
"[107, 107, 107, 107, 107, 107]",0.01,128,0.05,relu,400,Reacher6,0.0025507481875818396,0.38981853436655656
"[107, 107, 107, 107, 107, 107]",0.01,128,0.05,tanh,400,Reacher6,0.0030197080112990392,0.278250213751769
"[107, 107, 107, 107, 107, 107]",0.001,16,0.8,relu,400,Reacher6,0.002709330417957671,0.35200292154419555
"[107, 107, 107, 107, 107, 107]",0.001,16,0.8,tanh,400,Reacher6,0.002803122796573632,0.3296456522869243
"[107, 107, 107, 107, 107, 107]",0.001,16,0.5,relu,400,Reacher6,0.0024943112940326332,0.4034507286003713
"[107, 107, 107, 107, 107, 107]",0.001,16,0.5,tanh,400,Reacher6,0.002616429968150421,0.3739391325980567
"[107, 107, 107, 107, 107, 107]",0.001,16,0.2,relu,400,Reacher6,0.002423119888635406,0.42045877170313367
"[107, 107, 107, 107, 107, 107]",0.001,16,0.2,tanh,400,Reacher6,0.0025543997711687852,0.38913347427727824
"[107, 107, 107, 107, 107, 107]",0.001,16,0.1,relu,400,Reacher6,0.0024280458458139707,0.41924224695061046
"[107, 107, 107, 107, 107, 107]",0.001,16,0.1,tanh,400,Reacher6,0.0025685707078830886,0.3858254382665856
"[107, 107, 107, 107, 107, 107]",0.001,16,0.05,relu,400,Reacher6,0.0023931875573752572,0.42755324162424485
"[107, 107, 107, 107, 107, 107]",0.001,16,0.05,tanh,400,Reacher6,0.0026127811209449396,0.3750922709093498
"[107, 107, 107, 107, 107, 107]",0.001,32,0.8,relu,400,Reacher6,0.002700162662838939,0.35452506790061156
"[107, 107, 107, 107, 107, 107]",0.001,32,0.8,tanh,400,Reacher6,0.0028088979375383324,0.3285743559365955
"[107, 107, 107, 107, 107, 107]",0.001,32,0.5,relu,400,Reacher6,0.00248265228176138,0.4062053107740929
"[107, 107, 107, 107, 107, 107]",0.001,32,0.5,tanh,400,Reacher6,0.002632474241910645,0.3704221773501187
"[107, 107, 107, 107, 107, 107]",0.001,32,0.2,relu,400,Reacher6,0.0024207619680457412,0.42099086497538285
"[107, 107, 107, 107, 107, 107]",0.001,32,0.2,tanh,400,Reacher6,0.002528422966421594,0.3951552718303882
"[107, 107, 107, 107, 107, 107]",0.001,32,0.1,relu,400,Reacher6,0.0023983002089453496,0.42623411342077633
"[107, 107, 107, 107, 107, 107]",0.001,32,0.1,tanh,400,Reacher6,0.0025092119439136524,0.3997983221421042
"[107, 107, 107, 107, 107, 107]",0.001,32,0.05,relu,400,Reacher6,0.002397905419477701,0.42630522863481185
"[107, 107, 107, 107, 107, 107]",0.001,32,0.05,tanh,400,Reacher6,0.0025121496035865848,0.3989171907079634
"[107, 107, 107, 107, 107, 107]",0.001,64,0.8,relu,400,Reacher6,0.0027269185749480766,0.34812497131307346
